日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,5MA,10MA,20MA,60MA
111/05/06,"18,804,033","2,373,840,312",126.45,126.85,125.95,126.65,-2.60,"37,094",128.0499999999999,128.4,130.7175,135.94250000000017
111/05/09,"14,256,432","1,778,657,382",125.5,125.55,124.5,124.55,-2.10,"30,644",127.20999999999988,127.69500000000001,130.2175,135.63666666666683
111/05/10,"14,865,244","1,826,485,304",122.15,124.1,121.55,124.0,-0.55,"24,937",126.44999999999989,127.17,129.79500000000002,135.3133333333335
111/05/11,"8,458,090","1,047,528,803",123.85,124.45,123.3,124.2,+0.20,"11,241",125.7299999999999,126.665,129.3775,134.9658333333335
111/05/12,"13,693,487","1,672,599,238",123.0,123.0,121.2,121.25,-2.95,"36,619",124.12999999999991,126.13500000000002,128.68749999999997,134.57083333333352
111/05/13,"7,332,122","894,972,932",122.1,122.35,121.55,122.35,+1.10,"9,914",123.26999999999991,125.66000000000001,128.07749999999996,134.23166666666685
111/05/16,"6,085,859","750,214,036",123.45,124.0,122.5,123.0,+0.65,"11,536",122.95999999999992,125.08500000000001,127.61499999999997,133.91416666666686
111/05/17,"4,399,419","545,917,041",123.15,124.5,123.15,124.35,+1.35,"7,213",123.02999999999993,124.74000000000001,127.25499999999995,133.5800000000002
111/05/18,"6,600,381","829,207,469",125.35,126.0,125.25,125.7,+1.35,"9,484",123.32999999999993,124.53000000000002,126.93999999999994,133.26666666666685
111/05/19,"7,894,711","972,266,714",123.45,123.8,122.65,123.3,-2.40,"15,517",123.73999999999992,123.93500000000002,126.47249999999994,132.9200000000002
111/05/20,"3,867,232","481,189,963",123.75,124.95,123.65,124.65,+1.35,"6,285",124.1999999999999,123.73500000000001,126.06749999999995,132.60083333333353
111/05/23,"2,859,330","357,757,749",125.3,125.6,124.5,124.9,+0.25,"5,281",124.5799999999999,123.77000000000002,125.73249999999996,132.3183333333335
111/05/24,"5,469,914","678,348,751",125.0,125.2,123.4,123.5,-1.40,"10,831",124.4099999999999,123.72000000000003,125.44499999999996,132.0058333333335
111/05/25,"2,724,739","338,285,381",123.7,124.7,123.45,124.45,+0.95,"5,121",124.1599999999999,123.74500000000003,125.20499999999996,131.76666666666682
111/05/26,"6,240,375","771,156,008",125.0,125.0,122.85,122.9,-1.55,"11,824",124.0799999999999,123.91000000000004,125.02249999999995,131.50666666666683
111/05/27,"11,895,801","1,491,077,052",124.15,125.8,124.05,125.5,+2.60,"10,471",124.24999999999991,124.22500000000005,124.94249999999995,131.25750000000016
111/05/30,"14,840,687","1,896,337,486",127.25,128.6,127.05,128.55,+3.05,"13,098",124.9799999999999,124.78000000000004,124.93249999999996,131.07250000000016
111/05/31,"7,233,052","930,745,401",128.45,129.8,127.6,129.8,+1.25,"8,069",126.23999999999992,125.32500000000005,125.03249999999996,130.9033333333335
111/06/01,"6,730,117","872,404,015",129.3,130.05,129.0,129.15,-0.65,"8,809",127.17999999999991,125.67000000000004,125.09999999999995,130.7483333333335
111/06/02,"4,721,923","604,071,385",128.45,128.45,127.6,127.8,-1.35,"7,275",128.1599999999999,126.12000000000005,125.02749999999996,130.64500000000018
111/06/06,"4,292,361","550,968,083",128.25,129.0,127.45,128.7,+0.90,"8,948",128.7999999999999,126.52500000000005,125.12999999999995,130.60416666666686
111/06/07,"5,160,242","656,817,533",127.95,127.95,126.85,127.4,-1.30,"9,097",128.56999999999988,126.77500000000005,125.27249999999995,130.51916666666685
111/06/08,"4,110,313","529,293,647",128.5,129.1,128.15,128.8,+1.40,"4,841",128.3699999999999,127.30500000000004,125.51249999999996,130.39333333333352
111/06/09,"2,056,798","263,676,687",128.2,128.5,127.65,128.4,-0.40,"3,858",128.21999999999989,127.70000000000005,125.72249999999997,130.2933333333335
111/06/10,"4,616,549","585,983,475",126.8,127.4,126.4,127.1,-1.30,"10,027",128.0799999999999,128.12000000000003,126.01499999999996,130.17166666666685
111/06/13,"18,437,079","2,280,313,744",124.1,124.25,123.45,123.55,-3.55,"32,400",127.04999999999991,127.92500000000003,126.07499999999997,130.03666666666686
111/06/14,"12,474,631","1,529,735,542",122.6,123.55,122.1,123.35,-0.20,"17,066",126.23999999999992,127.40500000000002,126.09249999999997,129.88916666666688
111/06/15,"9,373,128","1,153,315,986",123.0,123.6,122.65,122.75,-0.60,"15,559",125.02999999999993,126.70000000000002,126.01249999999997,129.6616666666669
111/06/16,"13,116,110","1,620,183,258",124.1,125.0,122.25,122.5,-0.25,"14,401",123.84999999999994,126.03500000000001,125.85249999999999,129.4350000000002
111/06/17,"21,263,720","2,569,840,589",121.0,121.5,120.4,120.85,-1.65,"35,146",122.59999999999994,125.34,125.72999999999998,129.16583333333355
111/06/20,"11,621,643","1,395,030,566",120.9,120.95,119.5,119.75,-1.10,"23,697",121.83999999999995,124.44500000000001,125.48499999999997,128.88166666666686
111/06/21,"6,691,755","812,035,105",120.95,122.2,120.35,122.2,+2.45,"8,127",121.60999999999994,123.925,125.34999999999995,128.61666666666687
111/06/22,"16,172,586","1,939,003,203",121.7,121.7,119.35,119.5,-2.70,"24,790",120.95999999999995,122.995,125.14999999999995,128.30833333333354
111/06/23,"18,053,581","2,134,106,169",119.8,119.8,117.25,117.9,-1.60,"28,068",120.03999999999994,121.94500000000001,124.82249999999996,127.9700000000002
111/06/24,"11,166,572","1,324,805,066",118.65,119.3,117.95,118.15,+0.25,"10,504",119.49999999999993,121.05000000000003,124.58499999999997,127.66083333333353
111/06/27,"16,926,661","2,049,732,101",119.8,121.45,119.8,120.95,+2.80,"17,198",119.73999999999994,120.79000000000003,124.35749999999996,127.39583333333351
111/06/28,"11,140,021","1,333,751,369",120.8,120.8,119.25,119.8,-1.15,"13,216",119.25999999999992,120.43500000000003,123.91999999999996,127.08333333333351
111/06/29,"6,670,681","793,045,377",118.7,119.55,118.5,118.8,-1.00,"10,563",119.11999999999992,120.04000000000003,123.36999999999996,126.76166666666684
111/06/30,"22,064,782","2,563,829,835",117.7,117.8,115.5,115.8,-3.00,"36,330",118.6999999999999,119.37000000000003,122.70249999999996,126.40916666666685
111/07/01,"36,878,756","4,168,809,309",115.65,115.65,111.2,111.55,-4.25,"51,585",117.37999999999991,118.44000000000003,121.88999999999996,125.99750000000019
111/07/04,"27,456,531","3,044,859,233",111.25,112.2,110.0,110.45,-1.10,"28,717",115.2799999999999,117.51000000000003,120.97749999999996,125.60833333333352
111/07/05,"17,050,908","1,887,614,040",112.55,112.95,109.0,111.0,+0.55,"21,122",113.51999999999991,116.39000000000003,120.15749999999996,125.2158333333335
