證券代號	證券名稱	成交股數	成交金額	開盤價	最高價	最低價	收盤價	漲跌價差	成交筆數
2201	裕隆	21007000	1355275900	64.7	65.4	63.8	64.1	-2.4	10615
2204	中華	5076000	265857100	53.6	54	51.6	51.7	-2.8	2692
2206	三陽工業	5042000	181981150	36.45	36.6	35.9	35.95	-0.95	2394
2207	和泰車	520000	310635000	600	603	595	595	-18	364
2208	台船	5324000	106703700	19.85	20.3	19.85	20.1	-0.2	2226
2211	長榮鋼	355000	18502400	51.9	52.4	51.8	52.2	-0.2	197
2227	裕日車	116000	22684500	195.5	198.5	194	194	-7.5	102
2228	劍麟	204000	16003400	79.2	79.8	78	78	-2.3	182
2231	為升	1121000	170171500	154	155	149.5	151	-4	938
2233	宇隆	176000	17807000	102	102	100.5	101	-2	134
2236	百達-KY	479000	11611200	24.3	24.7	23.95	24.6	0.1	303
2239	英利-KY	88000	5388600	62	62.2	60.6	60.6	-1.8	84
2241	艾姆勒	30000	940950	31.5	32.1	31.2	31.2	-0.75	26
2243	宏旭-KY	31000	386750	12.45	12.7	12.35	12.6	0.05	16
2247	汎德永業	31000	6629500	214.5	215	212.5	212.5	-3.5	30
2250	IKKA-KY	14000	1034600	74.4	74.4	73	73.9	-0.5	14
2301	光寶科	30886000	1999436300	64.2	65.2	63.9	65.2	0.1	11573
2302	麗正	554000	9963150	18.25	18.25	17.8	17.85	-0.65	288
2303	聯電	95148000	4159888050	43.15	44.3	42.95	44.3	0.05	27302
2305	全友	1143000	30718750	27.15	27.25	26.6	26.9	-0.6	625
2308	台達電	6671000	1939575500	290	293.5	289.5	291	-4.5	2815
2312	金寶	5030000	70820350	14.1	14.15	14	14.1	-0.1	1409
2313	華通	12674000	615649950	48.05	49	47.8	48.9	0.4	6644
2314	台揚	786000	31435900	40.1	40.5	39.8	39.9	-0.95	532
2316	楠梓電	257000	6923200	26.8	27.1	26.65	27	0.2	113
2317	鴻海	71102000	7158433000	100.5	101.5	100	100.5	-1	20995
2321	東訊	1000	5890	5.89	5.89	5.89	5.89	0.01	1
2323	中環	3073000	23422160	7.62	7.68	7.6	7.6	-0.1	845
2324	仁寶	36714000	818055800	21.7	22.85	21.65	22.85	0.95	7994
2327	國巨	3562000	1721726500	488	490	480.5	480.5	-14.5	2142
2328	廣宇	2837000	108034800	38	38.4	37.8	38.05	-0.65	1591
2329	華泰	1490000	27153100	18.2	18.4	18.1	18.15	-0.35	726
2330	台積電	47442000	22258215500	466.5	471	465.5	471	-9.5	20177
2331	精英	2836000	62663950	22.15	22.3	22	22	-0.5	1261
2332	友訊	1878000	27884450	14.9	15.05	14.65	14.95	-0.1	514
2337	旺宏	32410000	1136861400	34.55	35.5	34.45	34.85	-0.4	13033
2338	光罩	4106000	367250600	88.9	90.3	88.4	90	-0.8	2331
2340	台亞	1610000	58439100	36.3	36.5	36.15	36.15	-0.6	862
2342	茂矽	883000	34884750	40.2	40.2	39.1	39.3	-1.2	601
2344	華邦電	13929000	290498000	20.9	21.05	20.75	20.85	-0.25	3431
2345	智邦	2173000	555989500	256.5	260	254	255	-7.5	1283
2347	聯強	15718000	957909100	59.3	61.8	59.1	61.4	1.4	6887
2348	海悅	72000	4720000	66	66	65.1	65.7	-0.3	52
2348A	海悅甲特							0	
2349	錸德	1725000	13670780	7.99	7.99	7.89	7.9	-0.16	582
2351	順德	970000	97773000	101	102	100	100.5	-3.5	750
2352	佳世達	13197000	356399500	27.4	27.5	26.85	26.85	-0.75	7882
2353	宏碁	14658000	337588250	23	23.15	22.95	23.05	-0.25	4724
2354	鴻準	3582000	188704100	52.8	53	52.3	52.6	-1.2	1696
2355	敬鵬	1176000	35265500	30.1	30.25	29.8	29.85	-0.8	752
2356	英業達	35149000	889922800	24.75	25.7	24.65	25.7	0.6	11687
2357	華碩	7568000	2003431000	264	267	262	265.5	-1.5	3056
2358	廷鑫	1298000	18319800	14.3	14.3	14	14.2	-0.3	544
2359	所羅門	1959000	53284150	27	27.45	26.85	27.2	-0.1	945
2360	致茂	1144000	207887000	177	184.5	176.5	184.5	4.5	768
2362	藍天	397000	12149950	30.8	30.9	30.55	30.55	-0.35	186
2363	矽統	1501000	24866500	16.6	16.65	16.5	16.6	-0.3	748
2364	倫飛	1002000	111488500	114	114	109.5	111.5	-4.5	758
2365	昆盈	188000	1878160	10	10.05	9.96	10.05	-0.05	93
2367	燿華	6336000	114793800	18.3	18.35	18	18	-0.55	2598
2368	金像電	10226000	961209500	95.7	95.8	92.2	95.7	-0.9	6046
2369	菱生	702000	9618000	13.8	13.8	13.55	13.7	-0.35	405
2371	大同	17263000	606753250	35	35.35	34.85	35.3	0.25	5580
2373	震旦行	72000	5613100	78.2	78.2	77.8	77.8	-0.9	69
2374	佳能	626000	13361500	21.55	21.55	21.2	21.25	-0.45	327
2375	凱美	254000	15131900	59.8	60	59.3	59.4	-1.3	203
2376	技嘉	29178000	3165846000	111.5	113	106.5	107	-7	15592
2377	微星	13491000	1642886500	121	124.5	118.5	123.5	0.5	7383
2379	瑞昱	6589000	1938217000	295	297	293	293	-9	3254
2380	虹光	549000	6856650	12.6	12.65	12.3	12.5	-0.3	272
2382	廣達	29886000	2138977200	71.6	72.1	70.7	72	-0.6	12574
2383	台光電	6011000	1101881500	185.5	188	182	182	-7	3050
2385	群光	6639000	564329100	84.5	85.3	84.3	85.2	0.6	2416
2387	精元	413000	16895350	40.9	41.15	40.8	40.8	-0.5	226
2388	威盛	15638000	1149787000	72.8	74.5	72.5	73.1	-0.7	8842
2390	云辰	644000	8619500	13.4	13.5	13.3	13.3	-0.3	339
2392	正崴	1122000	43004100	38	38.6	37.9	38.4	0	632
2393	億光	495000	18934750	38.2	38.55	38.05	38.1	-0.4	398
2395	研華	1109000	373632000	333.5	341	332.5	337	-7.5	698
2397	友通	24000	1411300	59.4	59.4	58.5	58.5	-0.9	20
2399	映泰	3966000	56103550	14.4	14.45	13.95	14	-0.6	1607
2401	凌陽	1640000	39829900	24.5	24.5	24.15	24.15	-0.65	997
2402	毅嘉	5528000	105292850	19.2	19.3	18.9	18.9	-0.65	2138
2404	漢唐	1176000	217285500	181	186.5	180	186	2	896
2405	輔信	1941000	23948500	12.5	12.5	12.25	12.3	-0.35	652
2406	國碩	1937000	38335000	19.9	20.1	19.65	19.65	-0.45	1055
2408	南亞科	8693000	474761100	55.1	55.1	54.3	54.5	-1.4	3667
2409	友達	166824000	2519436300	15.2	15.4	15.05	15.05	-0.45	18359
2412	中華電	16122000	1788319500	111	112	110.5	110.5	-1.5	4994
2413	環科	3749000	103296050	28.2	28.3	27.2	27.2	-1.45	2038
2414	精技	52000	1578250	30.45	30.45	30.1	30.3	-0.25	34
2415	錩新	159000	3561750	22.6	22.6	22.25	22.25	-0.65	105
2417	圓剛	514000	11820400	23.1	23.25	22.7	22.85	-0.55	324
2419	仲琦	4137000	106378050	26.35	26.35	25.35	25.4	-1.1	2070
2420	新巨	62000	2460500	39.5	39.8	39.45	39.7	-0.2	51
2421	建準	2013000	94182100	46.25	47.4	46	46.7	-0.2	1223
2423	固緯	85000	2302450	27.2	27.35	27	27.1	-0.2	55
2424	隴華	6000	118550	19.85	19.9	19.35	19.9	-0.65	6
2425	承啟	2475000	74126100	29.85	30.35	29.4	29.5	-0.6	1104
2426	鼎元	319000	5625750	17.9	17.9	17.5	17.5	-0.5	201
2427	三商電	156000	1870900	11.95	12.1	11.9	12	-0.1	68
2428	興勤	269000	33135000	121.5	125	121	123	-1.5	216
2429	銘旺科	64000	706650	11.1	11.25	10.75	11.15	0	36
2430	燦坤	48000	2009200	41.6	42.1	41.6	41.8	-0.1	38
2431	聯昌	139000	1403700	10.1	10.15	10.05	10.15	-0.05	68
2433	互盛電	16000	767900	48	48.1	47.85	48.05	-0.15	16
2434	統懋	82000	2404600	29.85	29.85	28.3	28.3	-0.7	15
2436	偉詮電	1115000	49015950	44.25	44.3	43.65	44.15	-0.95	767
2438	翔耀	9000	124000	14.2	14.3	13.5	13.9	0.15	7
2439	美律	1132000	90484900	79.5	80.6	79.4	80.6	0.5	731
2440	太空梭	124000	1535050	12.45	12.45	12.3	12.35	-0.2	73
2441	超豐	8981000	436590100	48	49.3	47.3	49.3	1.2	4036
2442	新美齊	561000	7503750	13.3	13.5	13.25	13.4	0.1	259
2443	昶虹	44000	121430	2.73	2.8	2.73	2.75	-0.02	12
2444	兆勁	12294000	237929250	19	20.05	18.9	19.2	-1.7	5311
2449	京元電子	10646000	391096000	36.15	37.15	36.05	37.15	0.3	4750
2450	神腦	86000	2656200	31	31	30.8	30.85	-0.15	68
2451	創見	656000	43207300	65.8	66.5	65.5	65.7	-0.7	436
2453	凌群	53000	1333150	25.1	25.35	24.85	25.35	0.05	44
2454	聯發科	12618000	8293214000	653	665	651	660	-21	8414
2455	全新	3693000	253463300	69.5	69.8	68.1	68.1	-2.6	2237
2457	飛宏	4900000	193088400	40	40	38.9	39.4	-1.1	2747
2458	義隆	1979000	177931600	90.3	90.4	88.8	90.3	-0.7	1367
2459	敦吉	53000	2739500	51.7	52	51.2	51.7	-0.2	48
2460	建通	267000	4581500	17.3	17.45	17.05	17.05	-0.7	166
2461	光群雷	234000	4355000	18.6	18.7	18.45	18.55	-0.2	83
2462	良得電	973000	27674000	28.1	28.9	27.95	28.3	0.15	420
2464	盟立	423000	16275700	38.45	38.7	38.3	38.55	-0.45	329
